,repository_name,language
0,.github,.github
1,ads-advanced-tools-docs,ads-advanced-tools-docs
2,alexa-coho,alexa-coho
3,alexa-skills-kit-js,alexa-skills-kit-js
4,amazon-ads-advertiser-audience-normalization-sdk-py,amazon-ads-advertiser-audience-normalization-sdk-py
5,amazon-advertising-api-php-sdk,amazon-advertising-api-php-sdk
6,amazon-codeguru-profiler-for-spark,amazon-codeguru-profiler-for-spark
7,amazon-frustration-free-setup-certification-tool,amazon-frustration-free-setup-certification-tool
8,amazon-hub-counter-api-docs,amazon-hub-counter-api-docs
9,amazon-hub-counter-api-samples,amazon-hub-counter-api-samples
10,amazon-hub-counter-sdk-java,amazon-hub-counter-sdk-java
11,amazon-hub-support,amazon-hub-support
12,amazon-instant-access-sdk-java,amazon-instant-access-sdk-java
13,amazon-instant-access-sdk-net,amazon-instant-access-sdk-net
14,amazon-instant-access-sdk-php,amazon-instant-access-sdk-php
15,amazon-instant-access-sdk-ruby,amazon-instant-access-sdk-ruby
16,amazon-launcher-integration-cordova-plugin,amazon-launcher-integration-cordova-plugin
17,amazon-marketing-stream-examples,amazon-marketing-stream-examples
18,amazon-mcf-plugin-for-magento-1,amazon-mcf-plugin-for-magento-1
19,amazon-nearest-neighbor-through-ecc,amazon-nearest-neighbor-through-ecc
20,amazon-pay-api-sdk-dotnet,amazon-pay-api-sdk-dotnet
21,amazon-pay-api-sdk-java,amazon-pay-api-sdk-java
22,amazon-pay-api-sdk-nodejs,amazon-pay-api-sdk-nodejs
23,amazon-pay-api-sdk-php,amazon-pay-api-sdk-php
24,amazon-pay-sdk-csharp,amazon-pay-sdk-csharp
25,amazon-pay-sdk-java,amazon-pay-sdk-java
26,amazon-pay-sdk-php,amazon-pay-sdk-php
27,amazon-pay-sdk-python,amazon-pay-sdk-python
28,amazon-pay-sdk-ruby,amazon-pay-sdk-ruby
29,amazon-pay-sdk-samples,amazon-pay-sdk-samples
30,amazon-payment-files-tools,amazon-payment-files-tools
31,amazon-payments-magento-2-plugin,amazon-payments-magento-2-plugin
32,amazon-ray,amazon-ray
33,amazon-s3-gst-plugin,amazon-s3-gst-plugin
34,amazon-sidewalk-android-samples,amazon-sidewalk-android-samples
35,amazon-sidewalk-ios-samples,amazon-sidewalk-ios-samples
36,amazon-succinct-doc-representation,amazon-succinct-doc-representation
37,amazon-template-library,amazon-template-library
38,amazon-weak-ner-needle,amazon-weak-ner-needle
39,amigitenough,amigitenough
40,amzn-drivers,amzn-drivers
41,amzn-ec2-ena-utilities,amzn-ec2-ena-utilities
42,auction-gym,auction-gym
43,autotrail,autotrail
44,aws-apigateway-client-lib,aws-apigateway-client-lib
45,aws-sigv4-signing-samples,aws-sigv4-signing-samples
46,awsssmchaosrunner,awsssmchaosrunner
47,basis-point-sets,basis-point-sets
48,buy-with-prime-oauth-handler-ec2,buy-with-prime-oauth-handler-ec2
49,buy-with-prime-saas-integration,buy-with-prime-saas-integration
50,computer-vision-basics-in-microsoft-excel,computer-vision-basics-in-microsoft-excel
51,confident-sinkhorn-allocation,confident-sinkhorn-allocation
52,convolutional-handwriting-gan,convolutional-handwriting-gan
53,cosearcher,cosearcher
54,credence-to-causal-estimation,credence-to-causal-estimation
55,data-jack-knife,data-jack-knife
56,debiased-balanced-interleaving,debiased-balanced-interleaving
57,differential-privacy-bayesian-optimization,differential-privacy-bayesian-optimization
58,distance-assistant,distance-assistant
59,drs-sample-android-app,drs-sample-android-app
60,drs-sample-ios-app,drs-sample-ios-app
61,emukit-playground,emukit-playground
62,eslint-plugin-no-date-parsing,eslint-plugin-no-date-parsing
63,exoplayer-amazon-port,exoplayer-amazon-port
64,explainable-text-vqa,explainable-text-vqa
65,faithful-data2text-cycle-training,faithful-data2text-cycle-training
66,fashion-attribute-disentanglement,fashion-attribute-disentanglement
67,fire-app-builder,fire-app-builder
68,firetv-sample-touch-app,firetv-sample-touch-app
69,ftv-livetv-sample-tv-app,ftv-livetv-sample-tv-app
70,gameon-sample-game-unity,gameon-sample-game-unity
71,gameon-starter-kit-unity,gameon-starter-kit-unity
72,git-commit-template,git-commit-template
73,glad,glad
74,golang-gitoperations,golang-gitoperations
75,halo-third-party-sdk-for-java,halo-third-party-sdk-for-java
76,halo-third-party-sdk-for-node-js,halo-third-party-sdk-for-node-js
77,halo-third-party-sdk-for-python,halo-third-party-sdk-for-python
78,hawktracer,hawktracer
79,image-misspell-coling2020,image-misspell-coling2020
80,image-to-recipe-transformers,image-to-recipe-transformers
81,ion-object-mapper-dotnet,ion-object-mapper-dotnet
82,jekyll-doc-project,jekyll-doc-project
83,kqr,kqr
84,login-with-amazon-oscommerce,login-with-amazon-oscommerce
85,login-with-amazon-wordpress,login-with-amazon-wordpress
86,merlin-on-demand-callgraph,merlin-on-demand-callgraph
87,metalearn-leap,metalearn-leap
88,milan,milan
89,multiconer-baseline,multiconer-baseline
90,multilingual-keyphrase-generation,multilingual-keyphrase-generation
91,multimodal-affinities,multimodal-affinities
92,MXFusion,MXFusion
93,nimbus-jose-jwt_aws-kms-extension,nimbus-jose-jwt_aws-kms-extension
94,openapi-swift-code-generate,openapi-swift-code-generate
95,orthogonal-additive-gaussian-processes,orthogonal-additive-gaussian-processes
96,oss-attribution-builder,oss-attribution-builder
97,oss-contribution-tracker,oss-contribution-tracker
98,oss-dashboard,oss-dashboard
99,pecos,pecos
100,pretraining-or-self-training,pretraining-or-self-training
101,rdma-core,rdma-core
102,refuel-open-domain-qa,refuel-open-domain-qa
103,rete-thewebconf-2022,rete-thewebconf-2022
104,rheoceros,rheoceros
105,robotiq-gripper-interface,robotiq-gripper-interface
106,sample-fire-tv-app-video-skill,sample-fire-tv-app-video-skill
107,selling-partner-api-docs,selling-partner-api-docs
108,selling-partner-api-models,selling-partner-api-models
109,selling-partner-api-samples,selling-partner-api-samples
110,seqzero,seqzero
111,service-model-swift-code-generate,service-model-swift-code-generate
112,sketch-constructor,sketch-constructor
113,smoke-aws,smoke-aws
114,smoke-aws-credentials,smoke-aws-credentials
115,smoke-aws-generate,smoke-aws-generate
116,smoke-aws-support,smoke-aws-support
117,smoke-dynamodb,smoke-dynamodb
118,smoke-framework,smoke-framework
119,smoke-framework-application-generate,smoke-framework-application-generate
120,smoke-framework-examples,smoke-framework-examples
121,smoke-http,smoke-http
122,sparse-vqvae,sparse-vqvae
123,ss-aga-kgc,ss-aga-kgc
124,sto-transformer,sto-transformer
125,style-dictionary,style-dictionary
126,supply-chain-simulation-environment,supply-chain-simulation-environment
127,tiny-attribution-generator,tiny-attribution-generator
128,trans-encoder,trans-encoder
129,user-satisfaction-modeling,user-satisfaction-modeling
130,workspace-resolver,workspace-resolver
131,xfer,xfer
132,zeek-plugin-bacnet,zeek-plugin-bacnet
133,zeek-plugin-enip,zeek-plugin-enip
134,zeek-plugin-profinet,zeek-plugin-profinet
135,zeek-plugin-s7comm,zeek-plugin-s7comm
136,zeek-plugin-tds,zeek-plugin-tds
137,zero-shot-rlhr,zero-shot-rlhr
